run_id,t,coverage,corpus_size
run_2,1.11,2687,265
run_3,1.11,2562,239
run_4,1.11,2687,265
run_5,1.11,2687,265
run_6,1.11,2738,275
run_7,1.11,2687,265
run_8,1.11,2687,265
run_9,1.11,2687,265
run_10,1.11,2687,265
run_1,1.12,2687,265
run_2,1.12,2687,265
run_3,1.12,2649,254
run_4,1.12,2687,265
run_5,1.12,2687,265
run_6,1.12,2738,275
run_7,1.12,2687,265
run_8,1.12,2687,265
run_9,1.12,2687,265
run_10,1.12,2687,265
run_1,1.13,2687,265
run_2,1.13,2687,265
run_3,1.13,2649,254
run_4,1.13,2738,275
run_5,1.13,2687,265
run_6,1.13,2738,275
run_7,1.13,2687,265
run_8,1.13,2687,265
run_9,1.13,2687,265
run_10,1.13,2687,265
run_1,1.14,2687,265
run_2,1.14,2687,265
run_3,1.14,2649,254
run_4,1.14,2738,275
run_5,1.14,2687,265
run_6,1.14,2738,275
run_7,1.14,2738,275
run_8,1.14,2738,275
run_9,1.14,2687,265
run_10,1.14,2687,265
run_1,1.16,2687,265
run_2,1.16,2687,265
run_3,1.16,2649,254
run_4,1.16,2738,275
run_5,1.16,2687,265
run_6,1.16,2738,275
run_7,1.16,2738,275
run_8,1.16,2738,275
run_9,1.16,2687,265
run_10,1.16,2738,275
run_1,1.19,2738,275
run_2,1.19,2687,265
run_3,1.19,2649,254
run_4,1.19,2738,275
run_5,1.19,2687,265
run_6,1.19,2738,275
run_7,1.19,2738,275
run_8,1.19,2738,275
run_9,1.19,2687,265
run_10,1.19,2738,275
run_1,1.21,2738,275
run_2,1.21,2687,265
run_3,1.21,2649,254
run_4,1.21,2738,275
run_5,1.21,2738,275
run_6,1.21,2738,275
run_7,1.21,2738,275
run_8,1.21,2738,275
run_9,1.21,2687,265
run_10,1.21,2738,275
run_1,1.22,2738,275
run_2,1.22,2687,265
run_3,1.22,2649,254
run_4,1.22,2738,275
run_5,1.22,2738,275
run_6,1.22,2788,289
run_7,1.22,2738,275
run_8,1.22,2738,275
run_9,1.22,2687,265
run_10,1.22,2738,275
run_1,1.23,2738,275
run_2,1.23,2687,265
run_3,1.23,2649,254
run_4,1.23,2738,275
run_5,1.23,2738,275
run_6,1.23,2788,289
run_7,1.23,2738,275
run_8,1.23,2738,275
run_9,1.23,2738,275
run_10,1.23,2738,275
run_1,1.24,2738,275
run_2,1.24,2687,265
run_3,1.24,2649,254
run_4,1.24,2788,289
run_5,1.24,2738,275
run_6,1.24,2788,289
run_7,1.24,2738,275
run_8,1.24,2738,275
run_9,1.24,2738,275
run_10,1.24,2738,275
run_1,1.25,2738,275
run_2,1.25,2687,265
run_3,1.25,2649,254
run_4,1.25,2788,289
run_5,1.25,2738,275
run_6,1.25,2788,289
run_7,1.25,2788,289
run_8,1.25,2788,289
run_9,1.25,2738,275
