run_id,t,coverage,corpus_size
run_7,9.71,4813,21
run_8,9.71,4769,23
run_9,9.71,4828,23
run_10,9.71,4723,20
run_1,9.77,4793,22
run_2,9.77,4814,25
run_3,9.77,4730,22
run_4,9.77,4767,21
run_5,9.77,4809,19
run_6,9.77,4776,23
run_7,9.77,4813,21
run_8,9.77,4769,23
run_9,9.77,4828,23
run_10,9.77,4727,20
run_1,9.79,4793,22
run_2,9.79,4814,25
run_3,9.79,4730,22
run_4,9.79,4767,21
run_5,9.79,4809,19
run_6,9.79,4776,23
run_7,9.79,4813,21
run_8,9.79,4769,23
run_9,9.79,4828,23
run_10,9.79,4727,20
run_1,10.14,4793,22
run_2,10.14,4814,25
run_3,10.14,4730,22
run_4,10.14,4767,21
run_5,10.14,4809,19
run_6,10.14,4776,23
run_7,10.14,4813,21
run_8,10.14,4789,23
run_9,10.14,4828,23
run_10,10.14,4727,20
run_1,10.21,4793,22
run_2,10.21,4814,25
run_3,10.21,4730,22
run_4,10.21,4767,21
run_5,10.21,4825,19
run_6,10.21,4776,23
run_7,10.21,4813,21
run_8,10.21,4789,23
run_9,10.21,4828,23
run_10,10.21,4727,20
run_1,10.33,4793,22
run_2,10.33,4814,25
run_3,10.33,4730,22
run_4,10.33,4767,21
run_5,10.33,4825,19
run_6,10.33,4776,23
run_7,10.33,4813,21
run_8,10.33,4789,23
run_9,10.33,4836,23
run_10,10.33,4727,20
run_1,10.38,4793,22
run_2,10.38,4826,25
run_3,10.38,4730,22
run_4,10.38,4767,21
run_5,10.38,4825,19
run_6,10.38,4776,23
run_7,10.38,4813,21
run_8,10.38,4789,23
run_9,10.38,4836,23
run_10,10.38,4727,20
run_1,10.48,4793,22
run_2,10.48,4826,25
run_3,10.48,4730,22
run_4,10.48,4767,21
run_5,10.48,4825,19
run_6,10.48,4776,23
run_7,10.48,4813,21
run_8,10.48,4789,23
run_9,10.48,4836,23
run_10,10.48,4727,20
run_1,10.66,4793,22
run_2,10.66,4826,25
run_3,10.66,4730,22
run_4,10.66,4767,21
run_5,10.66,4825,19
run_6,10.66,4776,23
run_7,10.66,4813,21
run_8,10.66,4789,23
run_9,10.66,4836,23
run_10,10.66,4727,20
run_1,10.68,4793,22
run_2,10.68,4826,25
run_3,10.68,4734,22
run_4,10.68,4767,21
run_5,10.68,4825,19
run_6,10.68,4776,23
run_7,10.68,4813,21
run_8,10.68,4789,23
run_9,10.68,4836,23
run_10,10.68,4727,20
run_1,10.75,4793,22
run_2,10.75,4826,25
run_3,10.75,4734,22
run_4,10.75,4795,21
run_5,10.75,4825,19
run_6,10.75,4776,23
run_7,10.75,4813,21
run_8,10.75,4789,23
run_9,10.75,4836,23
run_10,10.75,4727,20
run_1,10.76,4793,22
run_2,10.76,4826,25
run_3,10.76,4734,22
run_4,10.76,4795,21
run_5,10.76,4825,19
run_6,10.76,4776,23
run_7,10.76,4833,21
run_8,10.76,4789,23
run_9,10.76,4836,23
run_10,10.76,4727,20
run_1,10.85,4793,22
run_2,10.85,4826,25
run_3,10.85,4734,22
run_4,10.85,4795,21
run_5,10.85,4825,19
run_6,10.85,4776,23
run_7,10.85,4833,21
run_8,10.85,4789,23
run_9,10.85,4836,23
run_10,10.85,4747,20
run_1,11.26,4793,22
run_2,11.26,4826,25
run_3,11.26,4734,22
run_4,11.26,4795,21
run_5,11.26,4825,19
run_6,11.26,4776,23
run_7,11.26,4833,21
run_8,11.26,4801,23
run_9,11.26,4836,23
run_10,11.26,4747,20
run_1,11.36,4793,22
run_2,11.36,4826,25
run_3,11.36,4734,22
run_4,11.36,4795,21
run_5,11.36,4825,19
run_6,11.36,4776,23
run_7,11.36,4833,21
run_8,11.36,4801,23
run_9,11.36,4852,23
run_10,11.36,4747,20
run_1,11.43,4793,22
run_2,11.43,4826,25
run_3,11.43,4734,22
run_4,11.43,4795,21
run_5,11.43,4829,19
run_6,11.43,4776,23
run_7,11.43,4833,21
run_8,11.43,4801,23
run_9,11.43,4852,23
run_10,11.43,4747,20
run_1,11.46,4793,22
run_2,11.46,4830,25
run_3,11.46,4734,22
run_4,11.46,4795,21
run_5,11.46,4829,19
